K Value,Correct Ham,Correct Spam,Incorrect Ham,Incorrect Spam,Percentage Accuracy
0.05,337,144,1,18,0.962
0.1,335,144,1,20,0.958
0.15000000000000002,334,144,1,21,0.956
0.2,332,145,0,23,0.954
0.25,331,145,0,24,0.952
0.30000000000000004,330,145,0,25,0.95
0.35000000000000003,330,145,0,25,0.95
0.4,330,145,0,25,0.95
0.45,329,145,0,26,0.948
0.5,329,145,0,26,0.948
0.55,329,145,0,26,0.948
0.6000000000000001,329,145,0,26,0.948
0.65,329,145,0,26,0.948
0.7000000000000001,329,145,0,26,0.948
0.75,329,145,0,26,0.948
0.8,329,145,0,26,0.948
0.8500000000000001,329,145,0,26,0.948
0.9,328,145,0,27,0.946
0.9500000000000001,328,145,0,27,0.946
1.0,328,145,0,27,0.946
1.05,328,145,0,27,0.946
1.1,328,145,0,27,0.946
1.1500000000000001,328,145,0,27,0.946
1.2000000000000002,327,145,0,28,0.944
1.25,327,145,0,28,0.944
1.3,327,145,0,28,0.944
1.35,327,145,0,28,0.944
1.4000000000000001,327,145,0,28,0.944
1.4500000000000002,327,145,0,28,0.944
1.5,327,145,0,28,0.944
1.55,327,145,0,28,0.944
1.6,327,145,0,28,0.944
1.6500000000000001,326,145,0,29,0.942
1.7000000000000002,326,145,0,29,0.942
1.75,326,145,0,29,0.942
1.8,326,145,0,29,0.942
1.85,326,145,0,29,0.942
1.9000000000000001,326,145,0,29,0.942
1.9500000000000002,326,145,0,29,0.942
2.0,326,145,0,29,0.942
2.0500000000000003,326,145,0,29,0.942
2.1,326,145,0,29,0.942
2.15,326,145,0,29,0.942
2.2,326,145,0,29,0.942
2.25,326,145,0,29,0.942
2.3000000000000003,326,145,0,29,0.942
2.35,325,145,0,30,0.94
2.4000000000000004,325,145,0,30,0.94
2.45,324,145,0,31,0.938
2.5,324,145,0,31,0.938
2.5500000000000003,324,145,0,31,0.938
2.6,324,145,0,31,0.938
2.6500000000000004,324,145,0,31,0.938
2.7,324,145,0,31,0.938
2.75,323,145,0,32,0.936
2.8000000000000003,323,145,0,32,0.936
2.85,323,145,0,32,0.936
2.9000000000000004,323,145,0,32,0.936
2.95,323,145,0,32,0.936
3.0,322,145,0,33,0.934
3.0500000000000003,322,145,0,33,0.934
